file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Distorted AM Radio noise.wav,A muddled noise of broken channel of the TV,A television blares the rhythm of a static TV.,Loud television static dips in and out of focus,The loud buzz of static constantly changes pitch and volume.,heavy static and the beginnings of a signal on a transistor radio
Paper_Parchment_Rustling.wav,A person is turning a map over and over.,A person is very carefully rapping a gift for someone else.,A person is very carefully wrapping a gift for someone else.,"He sighed as he turned the pages of the book, stopping to scan the information.","papers are being turned, stopped, then turned again and someone is breathing."
03 Whales Slowing Down.wav,Several barnyard animals mooing in a barn while it rains outside.,"The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water.","Underwater, large numbers of shrimp clicking and several whales vocalizing.",Whales sing to one another over the flowing water in the distance.,wales sing to one another with water flowing in the background
Rope tied to boat in port.wav,An office chair is squeaking as someone bends back and forth in it.,Popping and squeaking gradually tapers off to a low level.,Someone is opening a creaky door slowly while a dog barks in the background,Squeaking and popping followed by gradual popping and tapering off.,an office chair is squeaking as someone leans forward and backward in it
carpenter bee.wav,A flying bee is buzzing loudly around an object and its wing hits it.,An annoying fly is buzzing loudly and consistently.,An insect buzzing in the foreground as birds chirp in the background.,"An insect trapped in a spider web struggles, breaks free and flies away.","Outdoors, insect trapped in a spider web and then breaks loose and flies away."
violin1.wav,A bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody.,A low stringed instrument drones a steady tone and is eventually joined by violins.,A large stringed instrument and a pair of violins are playing.,A musical instrument creates a tune and is followed by other instruments.,An orchestra practicing for an upcoming concert in an enclosed room.
121006_rain&amp;storm.wav,"As thunder claps far in the distance, the rain pours down.",Rain pours down and thunder claps far in the distance.,Substantial rain and wind are pouring and spouting around and thunder is available.,The rain falls down the thunder is rumbling as someone is pounding and a car passes.,"The rain falls down while someone is pounding, a car passes by and the thunder is rumbling"
draaiorgel2.wav,Something goes round that is playing its song.,"At the fair, music is playing near a carousel through the speaker.","Chiming of bells, whistles and horns at a performance.",Fair kind music is being played at the circus grounds.,Polka or fair kind of music is being played.
Officejet Printer.wav,A paper printer is printing off multiple pages.,A printer printing off multiple pages of paper,A small printing device performing duties and printing pages of text.,A tiny printer performs its duties and prints the words.,An automatic cutter feeds paper and cuts it.
Stockholm subway C20 train departing.wav,"A buzzer warns of departure, a air brake is released, while a roller coaster ride takes off.","A horn beeps for an amusement park ride, air brakes release and the ride takes off.","A warning button sounds, then a vehicle goes at a high speed.","After a horn beeps for an amusement park ride, the air brakes release and the ride begins.","First comes a beeping sound, then a door closing, then the train starts to speed up."
metalTunnel.wav,A very robotic synth modulates and reverberates within itself,An interesting instrument whose sound is going up and down.,The synth is reverberated at an rhythmic meter,it is like a iron rod cutting sound and it is a workshop,it is like an iron rod cutting sound and it is a workshop
Ambience Night crickets.wav,A serene bit of nightfall is met by crickets chirping,Crickets chirp in the background as a soft wind blows.,Crickets chirping outdoors at night with a gentle breeze blowing.,"In the calmness of nightfall, crickets are chirping.","While the wind softly blows, crickets chirp in the background."
Maria Hernandez Park September 1st.wav,A skateboarder is coasting on his board on a back and forth ramp as voices talk in the background.,A skateboarder rides his board up and down a ramp as people speak in the background.,People skateboard with some children who are faintly speaking.,Boards with small wheels are being ridden while children are quietly speaking.,People skateboard around at the park while chatting and laughing.
Traffic Light.wav,A group of people is standing on the street near a busy freeway.,A group of people standing on the street near a busy freeway.,A detector device is operating and detecting nothing and then it registers some activity.,An electric machine is operating and detecting nothing and then it suddenly detects some activity.,Unidentified squeaking occurs several times while men talk in the background.
jettish.wav,"A sweeping swaying sound rising upward repeatedly, then going downward repeatedly.",A sweeping swishing sound becomes louder and fades repeatedly.,Heavily distorted siren sounds make them sound like spacecraft.,They sound like a spacecraft when their siren sounds are highly distorted.,fancy alarm or alert system that is constantly going off
broken comms2.wav,A radio cycling through stations as it is being repaired.,A radio that is trying to be tuned and fixed.,A series of bleeps and bloops fire off randomly.,The computer is beeping as a voice recording drags .,Various computer noises go off as a voice call breaks up
wind3.wav,Air is being forced through a small opening and almost making whistling noises.,The wind howled violently and shrilly then began to taper off.,The wind is blowing through the corn field very loudly.,The wind is heard whistling outside from inside.,Wind howls violently and shrilly then begins to taper off.
Drinking Through Straw.wav,"A cold, icy drink is stirred and then sipped through a straw until it is gone.",A person is pouring a drink and then taking a sip.,A stone object rubs and hits against another object,A straw is moving and audible as it whirls around the bottom of the drain.,Someone is stirring a drink with ice cubes in it and starts drinking with a straw until empty.
the swarm v31m3.wav,"A built up sound comprised of whining, chirping and other sounds that slowly dies off.","A built up sound comprised of whirring, chirping and other sounds that slowly dies off.",A noisy vacuum cleaner is used in a confined space.,A vacuum cleaner with noisy bearings being used in a confined space.,Cranking noises turn to a low screeching that rises in volume until it is extremely loud.
Giant 1.wav,"A person gurgling, while trying to ape speech patterns, with some soft, occasional metal clanking in the background.","A person gurgling, while trying to mimic speech patterns, with some soft, intermittent metal clanging in the background.",A person is making weird noises with his or her mouth.,A person is speaking and is hard to understand.,A person who has a hole in their neck is talking and they are hard to understand.
dull metal.wav,A person is making noise by tapping their fingernails on a solid surface.,Metal prongs rapping insistently against the concrete ground.,Tapping two metal sticks together a few times a second.,Two metal objects tapping into each other a number of times.,Water is dripping from the faucet into the sink.
Small Chain Clanging.wav,A person crunches through dried leaves on the ground.,Aluminum candy papers are balled up in a hand.,Somebody balling up aluminum candy papers in their hand.,The chain of a necklace rattles inside a plastic cup.,a person is stepping on the ground full of dried leaves
Hitting Tall Grass.wav,A person slowly clears high growth vegetation outdoors,It takes more force to weed and trim as time goes on.,Rocks are being thrown down on the ground.,Sand is being shoveled and dumped on the ground.,The sand that is being shoveled is being dumped on the nearby ground.
Thunder Storm Daytona 3.wav,A clap of thunder coupled with the running water.,The plants in the forest are being blown and thrashed by the winds.,The thunder begins to roar as the rain is drizzling.,The thunder begins to roar while rain is drizzling.,Water is running and a roar of thunder happens at the same time.
smoking in car.wav,A person trying to use a lighter multiple times to light a cigarette and then inhaling and coughing.,After the lighter clicks and lights the cigarette the man coughs.,"Someone starts a lighter, lights a cigarette, takes a breath from the cigarette, and then coughs.","Striking the lighter, she lit the cigarette, pulled and began to cough.",The person tried a few times to light the cigarette with a lighter and he inhales and coughs.
Huston we have a problem (before &amp; after cleaning).wav,A female voice communicates over a static walkie-talkie.,Dispatcher and radio communication between people who are talking.,People are talking with each other using radio communication.,People are talking to each other on the radio.,Someone on the radio talking to another person.
Subping03.wav,A bell sound rings and echoes and slowly returns.,A small quiet mechanical reading or beeping similar to a radar.,A soft mechanical bleeping which is reminiscent of radar.,"A sonar sound starting off strong then fading, to begin strong again and eventually quiet down.",Sonar is activated and its audio oscillates between strong and weak signals.
sheep on pasture.wav,A baby lamb baaing and an adult lamb baaing while walking through grass.,A human mimics a lamb as it bleats.,A lamb bleating while a human mimics it.,Sheep bleat while birds chirp in the background.,Sheep call out while birds chirp in the background.
je_footstepsCement.wav,A person walks on a scratchy surface in a frequent manner,A person wearing slides is dragging their feet while they walk.,Someone is walking down a sidewalk and dragging their feet a little bit.,Someone walking down a sidewalk and dragging their feet a little bit.,Someone walks by wearing flip flops as they clack and scrape along the sidewalk.
Geroezemoes.wav,"A great number of people of all sorts of ages converse with each other, including a small child.",A group of people are having breakfast together in a cafeteria.,A group of people eat breakfast together at a table in the cafeteria.,A group or crowd of people speaking and shouting.,A large of group of people composed of different ages talk to each other including a toddler.
paper01.wav,A book being flipped through over and over.,A books whose page keeps being turned over.,Flipping through a book to put emphasis on the movement of the paper.,Some flipping the pages of a book with large leaves,Someone flipping the large leaf pages of a book.
0400 Traffic_police.wav,A car idling then somebody blowing a whistle while motorcycles pass by,A person blows a whistle at a busy city intersection.,A person blows a whistle at a busy intersection.,Several cars drive along a road while a police officer directs traffic.,Several cars driving on a road and a whistle is sounding.
"Crowd ambience, eating popcorn.wav","A short distance away, a group of people engage in indistinguishable chatter.","As time goes on, the bustling crowd chatter resonates.",Many people were moving and discussing inside of a large hall.,The activity of crowd chatter resonates as time goes on.,people are talking loudly in the background indistinguishably
"Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav","A person was walking on a sidewalk adjacent to a school, where children were playing on the playground.","As the wind begins to blow, background sounds like metal clanking and children screeching arise.",From outside the laundromat someone watches the clothes go round and round in the dryer,Metal clanks as the wind blows and the voices of children are screeching way in the background.,Someone walking down a sidewalk next to a school with kids on the playground playing.
Fan_Ventilation_Stereo 4.wav,A large industrial machine was whirring inside of a room.,A large industrial machine whirring inside of a room.,A loud mechanical whir is quite muffled by a distant nature sound.,A small engine runs with a small fan of a vehicle similar to a car.,Industry equipment being utilized inside a company warehouse
Cicadas and birds in a hot summer noon.wav,Animals and insects are making their usual sounds in a meadow.,Birds chirping outside while people are talking in the background.,"In a jungle, a flock of birds chirp among the flowing river.","In the distance, different birds chirped at different times.","The jungle with a lot of birds chirping, and potentially a river or waterfall nearby."
150209 Trevor Webb Beard Trimming.wav,A hair trimmer being used to cut hair.,A pair of hair clippers is cutting through hair.,The hair of a person is being cut with a hair trimmer.,The buzz of an electric razor cutting the hair of someone.,"The buzzing of an electric razor, as someone receives a hair cut."
16_Rain_Light_Ocean_44_16.wav,A camp fire crackles as the flames burn branches and leaves.,A camp fire is crackling as it burns up branches and leaves.,A whir close by and cracking occurs because of a small fire.,A whir nearby and then cracking is apparent from a small fire.,The rain is falling and dripping without other noise.
160718 HSN boy on tricycle passing by.wav,A lot of noise is coming from a factory engine.,A person shredding paper in a paper shredder.,A shredder is on and a person puts a charge card into the shredder.,Someone is playing with a remote control car,a factory engine is making a lot of noise
remix of 130879__frederic-font__05-hang-song-1.wav,An upbeat melody of music is repeatedly playing.,Multiple phase music is being played with a rhythmic beat.,Music is being played with a steady beat.,Someone playing an instrument at a constant rate and tune.,an upbeat music melody is playing over and over again
2 Gardener - May 2013 - Take01 - ZOOM H2n.wav,A hand held sander was used as various speeds.,A power tool is being used to cut grass.,A weed whacker trimming edges from a lawn.,A weed whacker trims the edges of a lawn.,Someone is operating a weed eater power tool.
fridaynight.wav,A siren sounds in the distance as heavy traffic rumbles by and a street performer starts playing.,Apparatus running and a melodic instrument being played in the meantime.,"Traffic roars, a distant siren sounds, and a street performer plays music.",someone is playing the trumpet as cars and people are passing by,someone is playing the trumpet while cars and people are passing by
ClockTicking.wav,A machine is making a loud clicking noise.,A pendulum moves back and forth and a pendulum ticks.,A pendulum ticks as it moves back and forth.,The machine is making a loud clicking noise.,the ticktocking of a loud clock in the foreground
Running.wav,"Chains are rattling while a horse is moving, then a man coughs.","Slow first, then quickening, horse feet and the jangle of their harness pass along, followed by a light cough.",Someone is running with their keys just a jingling and then coughs.,"With increasing speed, the trotting of horse feet and the jangle of their equipment pass by, followed by a cough.","chains are rattling, as horse is moving, then man coughs"
opening and closing a loft door.wav,"A man moves from the basement to upstairs, moving a heavy metal object with him.","Somebody slides open a heavy object or doorway, then continues walking.",Someone closes the garage door and then walks upstairs.,Someone slowly slides open a heavy screen door and then proceeds to walk down the hallway.,wooden rod beating sound and pushing some heavy material sound
Breaking Glass .wav,"A person shatters multiple glass objects, and then bangs on things.","Breaking glass, maybe a bottle, eight pieces of window or a conservatory with repetitive strikes on the glass objective",Plates break loudly as they are dropped to the floor.,The tinkling glass sounds after bottles are thrown and broken.,the sound of glass breaking and falling onto the floor
arsta.wav,Storm wind blows in the dense forest and makes a peaceful sound.,Storm wind blows in the dense forest very nice sound,"The wind is so strong, it is blowing at a high altitude.",Wind and rain point to signs of a hurricane.,Wind is blowing and bursting at a high altitude.
Dog splashing in a lake.wav,"A dog jumped into the water and swim and then came out panting, it shook its body","A dog pants, jumps in water, and shakes the water off.","A dog wearing a chain collar runs towards a pool, swims through it, and returns, then shakes the water off.","A dog with chain collar runs towards a pool, swims through and returns to shake the water off.","Jumping into the water to swim, the dog came out panting and shook his body."
